Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
MDW,"Chicago, IL: Chicago Midway International",595,9,87,77,1594,8091,86806
MIA,"Miami, FL: Miami International",511,2,43,56,1484,5610,79209
MSP,"Minneapolis, MN: Minneapolis-St Paul International",711,15,40,179,2424,13101,118454
ORD,"Chicago, IL: Chicago O'Hare International",2877,12,204,1691,9673,31292,720092
PDX,"Portland, OR: Portland International",362,7,11,28,896,4619,43557
PHL,"Philadelphia, PA: Philadelphia International",878,5,112,131,2966,8854,177234
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1162,25,85,181,3461,17771,158570
SAN,"San Diego, CA: San Diego International",562,4,33,55,1379,7440,63152
SEA,"Seattle, WA: Seattle/Tacoma International",643,15,28,92,1871,8559,97125
SFO,"San Francisco, CA: San Francisco International",790,11,34,194,2509,10976,126057
SLC,"Salt Lake City, UT: Salt Lake City International",464,13,34,93,1245,11715,56695
TPA,"Tampa, FL: Tampa International",614,3,25,38,1540,7060,79665
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1415,7,193,205,5471,34178,268184
BOS,"Boston, MA: Logan International",734,3,127,167,2824,10873,147383
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",709,7,75,43,1861,9300,91828
CLT,"Charlotte, NC: Charlotte Douglas International",940,15,38,130,3040,11046,128340
DCA,"Washington, DC: Ronald Reagan Washington National",508,3,87,127,1954,7847,89055
DEN,"Denver, CO: Denver International",1412,10,151,203,4156,20240,219193
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2425,7,334,831,6157,25454,379322
DTW,"Detroit, MI: Detroit Metro Wayne County",905,8,114,180,3194,15343,174229
EWR,"Newark, NJ: Newark Liberty International",869,10,102,207,4488,13114,293494
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",405,5,25,22,1157,5712,54894
IAD,"Washington, DC: Washington Dulles International",561,2,38,161,1695,8233,86568
IAH,"Houston, TX: George Bush Intercontinental/Houston",1103,12,119,144,3472,16985,230364
JFK,"New York, NY: John F. Kennedy International",626,9,106,99,3509,10563,192730
LAS,"Las Vegas, NV: McCarran International",1251,7,59,104,3014,15811,141206
LAX,"Los Angeles, CA: Los Angeles International",1162,11,84,177,3215,19602,155692
LGA,"New York, NY: LaGuardia",658,3,140,271,3549,10598,197722
MCO,"Orlando, FL: Orlando International",686,7,44,44,1990,11033,99323
MDW,"Chicago, IL: Chicago Midway International",592,8,81,35,1387,8265,66650
MIA,"Miami, FL: Miami International",421,0,28,44,1260,5483,65654
MSP,"Minneapolis, MN: Minneapolis-St Paul International",616,8,84,88,2512,13541,122289
ORD,"Chicago, IL: Chicago O'Hare International",2293,4,151,554,7340,32385,442090
PDX,"Portland, OR: Portland International",363,5,17,25,894,4870,42366
PHL,"Philadelphia, PA: Philadelphia International",692,6,71,128,2646,9057,127365
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1164,19,60,157,3113,17960,145010
SAN,"San Diego, CA: San Diego International",539,5,27,47,1273,7925,59700
SEA,"Seattle, WA: Seattle/Tacoma International",768,9,42,61,2201,9432,107726
SFO,"San Francisco, CA: San Francisco International",854,6,52,129,2893,11548,156387
SLC,"Salt Lake City, UT: Salt Lake City International",463,8,47,50,1304,11625,61615
TPA,"Tampa, FL: Tampa International",450,5,30,32,1286,6678,58869
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3094,9,712,920,10622,35978,704474
BOS,"Boston, MA: Logan International",1042,5,222,373,3910,10571,244002
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1065,7,177,137,2721,9307,175438
CLT,"Charlotte, NC: Charlotte Douglas International",1228,17,95,338,3674,10712,208892
DCA,"Washington, DC: Ronald Reagan Washington National",683,6,128,371,2450,7498,154080
DEN,"Denver, CO: Denver International",1801,18,173,385,5018,20269,293581
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3837,12,718,1254,9181,24770,676240
DTW,"Detroit, MI: Detroit Metro Wayne County",1285,13,194,743,3864,15066,254699
EWR,"Newark, NJ: Newark Liberty International",1081,8,166,765,5190,12820,411687
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",599,10,59,83,1676,5490,103676
IAD,"Washington, DC: Washington Dulles International",730,4,96,410,2258,7511,151636
IAH,"Houston, TX: George Bush Intercontinental/Houston",1401,10,149,263,4117,16173,288571
JFK,"New York, NY: John F. Kennedy International",898,6,141,468,4386,10489,337477
LAS,"Las Vegas, NV: McCarran International",1718,20,92,145,3749,15292,208714
LAX,"Los Angeles, CA: Los Angeles International",1702,26,163,241,4613,19454,259611
LGA,"New York, NY: LaGuardia",837,1,168,806,3736,10149,262652
MCO,"Orlando, FL: Orlando International",1202,7,126,122,2949,10964,184037
MDW,"Chicago, IL: Chicago Midway International",910,13,98,55,1910,8087,120798
MIA,"Miami, FL: Miami International",644,6,95,93,1881,5230,120165
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1019,19,141,446,3381,13557,203230
ORD,"Chicago, IL: Chicago O'Hare International",3240,17,243,1512,9438,31528,693494
PDX,"Portland, OR: Portland International",566,4,37,37,1286,5044,70977
PHL,"Philadelphia, PA: Philadelphia International",897,6,155,262,3298,8758,223018
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1553,27,96,338,3955,17223,212326
SAN,"San Diego, CA: San Diego International",819,10,57,85,1905,8339,100836
SEA,"Seattle, WA: Seattle/Tacoma International",1126,15,76,99,3052,9759,168030
SFO,"San Francisco, CA: San Francisco International",1203,11,96,194,3601,11856,205254
SLC,"Salt Lake City, UT: Salt Lake City International",1106,20,59,95,2639,12934,125792
TPA,"Tampa, FL: Tampa International",746,7,72,55,1752,6386,110667
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3709,10,812,860,11931,36992,768799
BOS,"Boston, MA: Logan International",947,7,222,361,3531,10711,236430
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1249,10,172,135,2943,9689,184783
CLT,"Charlotte, NC: Charlotte Douglas International",931,11,107,253,3112,10983,165073
DCA,"Washington, DC: Ronald Reagan Washington National",663,8,151,327,2299,7640,137492
DEN,"Denver, CO: Denver International",1865,17,154,270,4857,21356,266870
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3556,8,421,770,8409,25657,546677
DTW,"Detroit, MI: Detroit Metro Wayne County",1175,11,116,500,3473,15239,212217
EWR,"Newark, NJ: Newark Liberty International",1072,8,141,645,4301,13089,362450
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",623,10,65,49,1855,5586,114488
IAD,"Washington, DC: Washington Dulles International",681,8,85,183,2040,7334,130339
IAH,"Houston, TX: George Bush Intercontinental/Houston",1441,21,145,322,4261,16573,279826
JFK,"New York, NY: John F. Kennedy International",1061,6,196,441,4162,10964,307184
LAS,"Las Vegas, NV: McCarran International",1782,17,106,121,3743,15713,200886
LAX,"Los Angeles, CA: Los Angeles International",2022,23,173,229,5253,20920,276874
LGA,"New York, NY: LaGuardia",801,1,189,691,3346,10310,226163
MCO,"Orlando, FL: Orlando International",1330,14,144,91,3457,11547,207057
MDW,"Chicago, IL: Chicago Midway International",998,6,98,45,1976,8263,114865
MIA,"Miami, FL: Miami International",652,10,107,91,1970,5391,125307
MSP,"Minneapolis, MN: Minneapolis-St Paul International",960,10,120,304,3155,13672,188437
ORD,"Chicago, IL: Chicago O'Hare International",3086,12,238,1086,8364,32047,559444
PDX,"Portland, OR: Portland International",518,5,33,39,1136,5260,64274
PHL,"Philadelphia, PA: Philadelphia International",904,12,154,166,3090,9027,192618
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1485,24,120,241,4294,17844,221068
SAN,"San Diego, CA: San Diego International",888,8,36,52,1931,8718,102580
SEA,"Seattle, WA: Seattle/Tacoma International",1203,18,65,86,2810,10236,155498
SFO,"San Francisco, CA: San Francisco International",1228,15,95,224,3904,12345,226945
SLC,"Salt Lake City, UT: Salt Lake City International",1323,17,88,101,2913,13570,135307
TPA,"Tampa, FL: Tampa International",756,5,63,47,1902,6553,115522
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3239,9,592,896,10970,37284,700967
BOS,"Boston, MA: Logan International",965,4,161,256,2893,10834,172134
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1055,11,129,125,2481,9777,153379
CLT,"Charlotte, NC: Charlotte Douglas International",895,20,76,189,2796,10987,139664
DCA,"Washington, DC: Ronald Reagan Washington National",643,4,104,284,2028,7791,113654
DEN,"Denver, CO: Denver International",2056,13,148,346,5048,21412,280545
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2531,13,187,538,5687,25777,355677
DTW,"Detroit, MI: Detroit Metro Wayne County",1264,12,155,240,3924,15254,228249
EWR,"Newark, NJ: Newark Liberty International",1124,8,111,449,4604,13498,382432
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",528,4,40,37,1397,5460,81294
IAD,"Washington, DC: Washington Dulles International",689,3,60,221,1882,7345,126312
IAH,"Houston, TX: George Bush Intercontinental/Houston",960,15,87,188,2692,16713,175425
JFK,"New York, NY: John F. Kennedy International",1021,6,190,306,4138,11064,305998
LAS,"Las Vegas, NV: McCarran International",1793,21,87,130,3798,15728,192946
LAX,"Los Angeles, CA: Los Angeles International",1886,22,114,256,4967,21084,250616
LGA,"New York, NY: LaGuardia",792,5,169,417,3972,10506,237718
MCO,"Orlando, FL: Orlando International",1086,7,74,74,2614,11427,157293
MDW,"Chicago, IL: Chicago Midway International",852,13,89,65,1873,8256,107723
MIA,"Miami, FL: Miami International",539,4,42,76,1438,5357,81405
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1040,14,213,392,4670,13581,311074
ORD,"Chicago, IL: Chicago O'Hare International",3852,14,210,1443,10068,32483,692508
PDX,"Portland, OR: Portland International",563,7,23,37,1286,5320,70916
PHL,"Philadelphia, PA: Philadelphia International",813,6,153,163,3308,9035,207569
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1416,29,98,209,3791,17884,188507
SAN,"San Diego, CA: San Diego International",836,5,44,64,1930,8854,98173
SEA,"Seattle, WA: Seattle/Tacoma International",1202,14,56,103,3092,10130,167519
SFO,"San Francisco, CA: San Francisco International",1233,12,80,210,3820,12456,215234
SLC,"Salt Lake City, UT: Salt Lake City International",1214,11,75,94,2614,13564,121108
TPA,"Tampa, FL: Tampa International",640,4,52,47,1518,6529,91452
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1616,8,299,440,6862,34271,431373
BOS,"Boston, MA: Logan International",434,2,54,100,1757,9897,93359
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",550,2,33,45,1223,9087,55049
CLT,"Charlotte, NC: Charlotte Douglas International",429,6,37,77,1530,10248,65617
DCA,"Washington, DC: Ronald Reagan Washington National",316,2,61,105,1263,7050,58691
DEN,"Denver, CO: Denver International",1019,8,70,183,2571,19261,123801
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1569,3,155,546,3684,24317,239238
DTW,"Detroit, MI: Detroit Metro Wayne County",648,5,75,98,2027,14175,108450
EWR,"Newark, NJ: Newark Liberty International",452,4,60,128,2499,11981,149051
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",219,3,17,31,697,4889,30719
IAD,"Washington, DC: Washington Dulles International",372,2,26,91,1023,6679,53661
IAH,"Houston, TX: George Bush Intercontinental/Houston",448,7,37,56,1462,14867,75272
JFK,"New York, NY: John F. Kennedy International",349,2,79,101,2392,10243,127291
LAS,"Las Vegas, NV: McCarran International",975,12,26,79,2581,15150,110870
LAX,"Los Angeles, CA: Los Angeles International",1116,11,44,230,3306,19658,145202
LGA,"New York, NY: LaGuardia",465,2,86,213,2551,9841,123027
MCO,"Orlando, FL: Orlando International",459,1,18,70,1437,9918,66686
MDW,"Chicago, IL: Chicago Midway International",440,5,33,44,947,7744,42362
MIA,"Miami, FL: Miami International",257,2,21,59,963,4951,48588
MSP,"Minneapolis, MN: Minneapolis-St Paul International",592,3,224,211,2945,12271,190576
ORD,"Chicago, IL: Chicago O'Hare International",1788,6,106,545,5906,30436,373053
PDX,"Portland, OR: Portland International",290,2,10,29,745,4911,35182
PHL,"Philadelphia, PA: Philadelphia International",404,5,62,75,1622,8283,80954
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",874,9,38,177,2442,16884,106704
SAN,"San Diego, CA: San Diego International",502,2,23,82,1300,8389,56961
SEA,"Seattle, WA: Seattle/Tacoma International",746,6,29,68,2064,9282,95783
SFO,"San Francisco, CA: San Francisco International",757,4,46,156,2893,11567,154537
SLC,"Salt Lake City, UT: Salt Lake City International",671,9,29,97,1704,12015,72577
TPA,"Tampa, FL: Tampa International",305,0,10,32,831,5986,37508
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2170,7,514,418,9107,36942,482804
BOS,"Boston, MA: Logan International",627,2,61,140,2374,10373,135200
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",740,4,38,57,1577,9405,74003
CLT,"Charlotte, NC: Charlotte Douglas International",668,6,41,115,2240,10992,102734
DCA,"Washington, DC: Ronald Reagan Washington National",462,1,56,171,1458,7479,71178
DEN,"Denver, CO: Denver International",1293,5,53,179,3084,19967,143385
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1758,6,177,283,4199,25141,240564
DTW,"Detroit, MI: Detroit Metro Wayne County",849,3,42,152,2516,14967,131058
EWR,"Newark, NJ: Newark Liberty International",715,5,98,333,4390,12882,338085
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",385,5,17,16,1178,5204,57807
IAD,"Washington, DC: Washington Dulles International",529,3,33,108,1410,6954,76691
IAH,"Houston, TX: George Bush Intercontinental/Houston",780,5,43,107,2343,16522,129395
JFK,"New York, NY: John F. Kennedy International",548,11,99,211,2816,10492,184937
LAS,"Las Vegas, NV: McCarran International",1287,5,33,97,3155,15897,135676
LAX,"Los Angeles, CA: Los Angeles International",1449,22,71,238,3932,20423,179898
LGA,"New York, NY: LaGuardia",555,1,132,406,3774,10487,217344
MCO,"Orlando, FL: Orlando International",762,5,20,23,2190,10592,96789
MDW,"Chicago, IL: Chicago Midway International",646,5,33,43,1269,8150,58404
MIA,"Miami, FL: Miami International",362,3,21,44,1295,5092,64217
MSP,"Minneapolis, MN: Minneapolis-St Paul International",679,6,156,314,3074,12753,180813
ORD,"Chicago, IL: Chicago O'Hare International",2337,7,137,557,7030,32012,417112
PDX,"Portland, OR: Portland International",447,4,12,27,1128,4990,53955
PHL,"Philadelphia, PA: Philadelphia International",548,2,90,78,2514,8577,153535
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1064,9,47,176,2894,17671,126631
SAN,"San Diego, CA: San Diego International",670,7,27,87,1607,8660,67934
SEA,"Seattle, WA: Seattle/Tacoma International",880,5,38,110,2732,9359,128041
SFO,"San Francisco, CA: San Francisco International",893,11,66,234,3672,12042,213570
SLC,"Salt Lake City, UT: Salt Lake City International",660,11,39,75,1648,12282,69486
TPA,"Tampa, FL: Tampa International",479,5,17,14,1309,6343,63690
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1394,7,302,267,5914,34674,320368
BOS,"Boston, MA: Logan International",630,1,70,168,1879,9899,98055
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",569,3,25,37,1316,8952,57683
CLT,"Charlotte, NC: Charlotte Douglas International",640,4,26,106,1941,10722,83394
DCA,"Washington, DC: Ronald Reagan Washington National",406,2,32,136,1188,7116,52252
DEN,"Denver, CO: Denver International",1173,4,41,134,3144,19334,141665
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1909,5,172,246,4246,24239,214401
DTW,"Detroit, MI: Detroit Metro Wayne County",777,4,30,89,2507,13943,119560
EWR,"Newark, NJ: Newark Liberty International",751,4,98,236,4588,12472,339873
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",362,0,7,19,893,5727,45008
IAD,"Washington, DC: Washington Dulles International",493,3,12,130,1233,6895,67211
IAH,"Houston, TX: George Bush Intercontinental/Houston",758,9,57,63,2305,15534,125606
JFK,"New York, NY: John F. Kennedy International",550,2,64,85,2642,10299,147497
LAS,"Las Vegas, NV: McCarran International",1037,5,59,148,2901,15228,148893
LAX,"Los Angeles, CA: Los Angeles International",1409,12,78,272,4421,19655,195600
LGA,"New York, NY: LaGuardia",574,1,111,342,4263,9926,241560
MCO,"Orlando, FL: Orlando International",644,5,16,26,1510,10717,70511
MDW,"Chicago, IL: Chicago Midway International",517,2,9,29,1080,7636,43611
MIA,"Miami, FL: Miami International",376,2,17,21,1067,5098,52139
MSP,"Minneapolis, MN: Minneapolis-St Paul International",508,6,21,83,1835,12210,78439
ORD,"Chicago, IL: Chicago O'Hare International",2118,2,76,580,7107,30041,428156
PDX,"Portland, OR: Portland International",390,3,11,30,1014,4891,44895
PHL,"Philadelphia, PA: Philadelphia International",437,4,71,71,2023,8263,118528
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",864,11,38,287,2825,17072,125405
SAN,"San Diego, CA: San Diego International",546,4,29,53,1582,8202,69423
SEA,"Seattle, WA: Seattle/Tacoma International",592,8,26,68,2064,8665,95419
SFO,"San Francisco, CA: San Francisco International",777,6,57,254,3108,11603,185504
